siteID,day,hour,year,month,weekday,gps_lat,gps_lon,value,umapX,umapY
08BEAC028622,23,9,2020,7,4,23.905,120.689,"[14.6, 11.6, 11.1, 17.0, 23.3, 30.55555556, 35.5]",-0.360481,3.3080764
08BEAC028622,23,10,2020,7,4,23.905,120.689,"[11.6, 11.1, 17.0, 23.3, 30.55555556, 35.5, 25.5]",0.8460589,4.1229954
08BEAC028622,23,11,2020,7,4,23.905,120.689,"[11.1, 17.0, 23.3, 30.55555556, 35.5, 25.5, 16.3]",4.4985065,1.5842865
08BEAC028622,23,12,2020,7,4,23.905,120.689,"[17.0, 23.3, 30.55555556, 35.5, 25.5, 16.3, 9.4]",6.7925606,1.3467898
08BEAC028622,23,13,2020,7,4,23.905,120.689,"[23.3, 30.55555556, 35.5, 25.5, 16.3, 9.4, 10.1]",8.699516,1.197998
08BEAC028622,23,14,2020,7,4,23.905,120.689,"[30.55555556, 35.5, 25.5, 16.3, 9.4, 10.1, 10.33333333]",11.474573,3.448374
08BEAC028622,23,15,2020,7,4,23.905,120.689,"[35.5, 25.5, 16.3, 9.4, 10.1, 10.33333333, 7.0]",12.941883,2.621115
08BEAC02863A,22,9,2020,7,3,23.5578778,120.4356678,"[14.4, 27.3, 17.5, 14.2, 15.44444444, 26.6, 35.9]",-0.24951479,2.5514698
08BEAC02863A,22,10,2020,7,3,23.5578778,120.4356678,"[27.3, 17.5, 14.2, 15.44444444, 26.6, 35.9, 31.2]",0.72216254,4.315524
08BEAC02863A,22,11,2020,7,3,23.5578778,120.4356678,"[17.5, 14.2, 15.44444444, 26.6, 35.9, 31.2, 15.11111111]",4.3066645,1.3790609
08BEAC02863A,22,12,2020,7,3,23.5578778,120.4356678,"[14.2, 15.44444444, 26.6, 35.9, 31.2, 15.11111111, 19.33333333]",5.9939513,0.9110998
08BEAC02863A,22,13,2020,7,3,23.5578778,120.4356678,"[15.44444444, 26.6, 35.9, 31.2, 15.11111111, 19.33333333, 22.8]",7.9066205,1.454249
08BEAC02863A,22,14,2020,7,3,23.5578778,120.4356678,"[26.6, 35.9, 31.2, 15.11111111, 19.33333333, 22.8, 25.3]",9.937,3.7925556
08BEAC02863A,22,15,2020,7,3,23.5578778,120.4356678,"[35.9, 31.2, 15.11111111, 19.33333333, 22.8, 25.3, 28.2]",11.111447,1.7838454
08BEAC02863A,23,4,2020,7,4,23.5578778,120.4356678,"[31.4, 29.5, 29.44444444, 28.1, 26.5, 31.4, 52.66666667]",3.634178,5.226408
08BEAC02863A,23,5,2020,7,4,23.5578778,120.4356678,"[29.5, 29.44444444, 28.1, 26.5, 31.4, 52.66666667, 36.8]",3.5591812,4.8019447
08BEAC02863A,23,6,2020,7,4,23.5578778,120.4356678,"[29.44444444, 28.1, 26.5, 31.4, 52.66666667, 36.8, 27.9]",4.6302395,3.9828403
08BEAC02863A,23,7,2020,7,4,23.5578778,120.4356678,"[28.1, 26.5, 31.4, 52.66666667, 36.8, 27.9, 25.4]",5.6989384,3.577325
08BEAC02863A,23,8,2020,7,4,23.5578778,120.4356678,"[26.5, 31.4, 52.66666667, 36.8, 27.9, 25.4, 28.25]",6.8957953,3.4952812
08BEAC02863A,23,9,2020,7,4,23.5578778,120.4356678,"[31.4, 52.66666667, 36.8, 27.9, 25.4, 28.25, 17.11111111]",8.344198,4.478271
08BEAC02863A,23,10,2020,7,4,23.5578778,120.4356678,"[52.66666667, 36.8, 27.9, 25.4, 28.25, 17.11111111, 4.444444444]",9.334288,4.0230637
08BEAC02863A,23,11,2020,7,4,23.5578778,120.4356678,"[36.8, 27.9, 25.4, 28.25, 17.11111111, 4.444444444, 3.3]",10.498868,2.2902994
08BEAC0286AE,23,8,2020,7,4,25.05349005,121.4392031,"[22.2, 28.2, 21.88888889, 23.3, 30.4, 29.5, 35.66666667]",2.195429,4.269866
08BEAC0286AE,23,9,2020,7,4,25.05349005,121.4392031,"[28.2, 21.88888889, 23.3, 30.4, 29.5, 35.66666667, 30.4]",2.6988385,3.7334476
08BEAC0286AE,23,10,2020,7,4,25.05349005,121.4392031,"[21.88888889, 23.3, 30.4, 29.5, 35.66666667, 30.4, 25.44444444]",4.3192415,2.9110136
08BEAC0286AE,23,11,2020,7,4,25.05349005,121.4392031,"[23.3, 30.4, 29.5, 35.66666667, 30.4, 25.44444444, 17.88888889]",6.674236,2.5950491
08BEAC0286AE,23,12,2020,7,4,25.05349005,121.4392031,"[30.4, 29.5, 35.66666667, 30.4, 25.44444444, 17.88888889, 10.55555556]",8.233456,2.4575589
08BEAC0286AE,23,13,2020,7,4,25.05349005,121.4392031,"[29.5, 35.66666667, 30.4, 25.44444444, 17.88888889, 10.55555556, 15.8]",9.934182,2.5599537
08BEAC0286AE,23,14,2020,7,4,25.05349005,121.4392031,"[35.66666667, 30.4, 25.44444444, 17.88888889, 10.55555556, 15.8, 17.4]",11.328333,2.6849093
08BEAC0286D2,23,8,2020,7,4,23.876,120.529,"[21.0, 25.6, 25.5, 27.5, 30.0, 34.9, 40.0]",2.4805737,3.7709465
08BEAC0286D2,23,9,2020,7,4,23.876,120.529,"[25.6, 25.5, 27.5, 30.0, 34.9, 40.0, 23.875]",4.011753,3.3421245
08BEAC0286D2,23,10,2020,7,4,23.876,120.529,"[25.5, 27.5, 30.0, 34.9, 40.0, 23.875, 14.6]",6.0948095,2.3374152
08BEAC0286D2,23,11,2020,7,4,23.876,120.529,"[27.5, 30.0, 34.9, 40.0, 23.875, 14.6, 7.5]",7.975066,1.8862957
08BEAC0286D2,23,12,2020,7,4,23.876,120.529,"[30.0, 34.9, 40.0, 23.875, 14.6, 7.5, 3.6]",9.374307,1.6047251
08BEAC0286D2,23,13,2020,7,4,23.876,120.529,"[34.9, 40.0, 23.875, 14.6, 7.5, 3.6, 4.9]",12.09158,3.4186532
08BEAC0286D2,23,14,2020,7,4,23.876,120.529,"[40.0, 23.875, 14.6, 7.5, 3.6, 4.9, 7.8]",13.295955,2.6449957
08BEAC0286FE,23,8,2020,7,4,24.27831601,120.7188932,"[14.6, 15.8, 19.4, 28.44444444, 34.9, 33.9, 40.88888889]",1.7138996,3.3127584
08BEAC0286FE,23,9,2020,7,4,24.27831601,120.7188932,"[15.8, 19.4, 28.44444444, 34.9, 33.9, 40.88888889, 32.22222222]",2.9342763,3.1348777
08BEAC0286FE,23,10,2020,7,4,24.27831601,120.7188932,"[19.4, 28.44444444, 34.9, 33.9, 40.88888889, 32.22222222, 16.11111111]",4.8438163,2.7784672
08BEAC0286FE,23,11,2020,7,4,24.27831601,120.7188932,"[28.44444444, 34.9, 33.9, 40.88888889, 32.22222222, 16.11111111, 7.4]",7.2155414,2.263574
08BEAC0286FE,23,12,2020,7,4,24.27831601,120.7188932,"[34.9, 33.9, 40.88888889, 32.22222222, 16.11111111, 7.4, 8.444444444]",9.117869,1.9514202
08BEAC0286FE,23,13,2020,7,4,24.27831601,120.7188932,"[33.9, 40.88888889, 32.22222222, 16.11111111, 7.4, 8.444444444, 7.9]",11.39277,3.4064305
08BEAC0286FE,23,14,2020,7,4,24.27831601,120.7188932,"[40.88888889, 32.22222222, 16.11111111, 7.4, 8.444444444, 7.9, 22.8]",12.527803,2.480982
08BEAC02871A,23,8,2020,7,4,25.0620528,121.4585188,"[20.22222222, 22.6, 25.4, 26.6, 33.0, 32.8, 36.4]",2.2721708,3.6104424
08BEAC02871A,23,9,2020,7,4,25.0620528,121.4585188,"[22.6, 25.4, 26.6, 33.0, 32.8, 36.4, 33.25]",3.5430746,3.571269
08BEAC02871A,23,10,2020,7,4,25.0620528,121.4585188,"[25.4, 26.6, 33.0, 32.8, 36.4, 33.25, 27.7]",4.9054766,3.4647622
08BEAC02871A,23,11,2020,7,4,25.0620528,121.4585188,"[26.6, 33.0, 32.8, 36.4, 33.25, 27.7, 15.22222222]",6.6879973,2.7893975
08BEAC02871A,23,12,2020,7,4,25.0620528,121.4585188,"[33.0, 32.8, 36.4, 33.25, 27.7, 15.22222222, 11.8]",8.129766,2.5288558
08BEAC02871A,23,13,2020,7,4,25.0620528,121.4585188,"[32.8, 36.4, 33.25, 27.7, 15.22222222, 11.8, 14.2]",9.743562,2.4313233
08BEAC02871A,23,14,2020,7,4,25.0620528,121.4585188,"[36.4, 33.25, 27.7, 15.22222222, 11.8, 14.2, 16.5]",11.304552,2.9225028
08BEAC028768,22,9,2020,7,3,23.478874,120.453705,"[9.5, 10.8, 19.7, 15.88888889, 14.9, 20.9, 38.2]",-0.9379134,2.411448
08BEAC028768,22,10,2020,7,3,23.478874,120.453705,"[10.8, 19.7, 15.88888889, 14.9, 20.9, 38.2, 84.66666667]",-1.1975298,3.347812
08BEAC028768,22,11,2020,7,3,23.478874,120.453705,"[19.7, 15.88888889, 14.9, 20.9, 38.2, 84.66666667, 37.9]",1.4996641,5.267925
08BEAC028768,22,12,2020,7,3,23.478874,120.453705,"[15.88888889, 14.9, 20.9, 38.2, 84.66666667, 37.9, 24.4]",4.494987,4.4366093
08BEAC028768,22,13,2020,7,3,23.478874,120.453705,"[14.9, 20.9, 38.2, 84.66666667, 37.9, 24.4, 14.3]",5.7709346,3.0751224
08BEAC028768,22,14,2020,7,3,23.478874,120.453705,"[20.9, 38.2, 84.66666667, 37.9, 24.4, 14.3, 17.0]",6.9255705,3.6015363
08BEAC028768,22,15,2020,7,3,23.478874,120.453705,"[38.2, 84.66666667, 37.9, 24.4, 14.3, 17.0, 27.9]",8.576458,4.75486
08BEAC028768,22,16,2020,7,3,23.478874,120.453705,"[84.66666667, 37.9, 24.4, 14.3, 17.0, 27.9, 28.8]",9.184477,4.6472173
08BEAC028768,22,17,2020,7,3,23.478874,120.453705,"[37.9, 24.4, 14.3, 17.0, 27.9, 28.8, 36.4]",2.585003,4.9612193
08BEAC028768,22,18,2020,7,3,23.478874,120.453705,"[24.4, 14.3, 17.0, 27.9, 28.8, 36.4, 28.33333333]",2.018405,3.6346316
08BEAC028768,22,19,2020,7,3,23.478874,120.453705,"[14.3, 17.0, 27.9, 28.8, 36.4, 28.33333333, 27.8]",3.1558754,2.7290442
08BEAC028768,22,20,2020,7,3,23.478874,120.453705,"[17.0, 27.9, 28.8, 36.4, 28.33333333, 27.8, 25.7]",5.205014,2.7544415
08BEAC028768,22,21,2020,7,3,23.478874,120.453705,"[27.9, 28.8, 36.4, 28.33333333, 27.8, 25.7, 26.3]",7.1982417,3.2505136
08BEAC028768,22,22,2020,7,3,23.478874,120.453705,"[28.8, 36.4, 28.33333333, 27.8, 25.7, 26.3, 25.88888889]",9.132948,3.8135283
08BEAC028768,22,23,2020,7,3,23.478874,120.453705,"[36.4, 28.33333333, 27.8, 25.7, 26.3, 25.88888889, 23.8]",9.416653,3.3495443
08BEAC028768,23,9,2020,7,4,23.478874,120.453705,"[25.44444444, 26.1, 34.2, 30.2, 30.77777778, 34.5, 35.33333333]",3.4660482,4.1059346
08BEAC028768,23,10,2020,7,4,23.478874,120.453705,"[26.1, 34.2, 30.2, 30.77777778, 34.5, 35.33333333, 19.5]",4.7446127,3.0418036
08BEAC028768,23,11,2020,7,4,23.478874,120.453705,"[34.2, 30.2, 30.77777778, 34.5, 35.33333333, 19.5, 12.1]",6.7122903,2.4309363
08BEAC028768,23,12,2020,7,4,23.478874,120.453705,"[30.2, 30.77777778, 34.5, 35.33333333, 19.5, 12.1, 12.4]",8.333169,1.9365181
08BEAC028768,23,13,2020,7,4,23.478874,120.453705,"[30.77777778, 34.5, 35.33333333, 19.5, 12.1, 12.4, 4.9]",9.4952545,1.7106669
08BEAC028768,23,14,2020,7,4,23.478874,120.453705,"[34.5, 35.33333333, 19.5, 12.1, 12.4, 4.9, 7.3]",12.3331785,3.3235738
08BEAC028768,23,15,2020,7,4,23.478874,120.453705,"[35.33333333, 19.5, 12.1, 12.4, 4.9, 7.3, 10.55555556]",13.274771,2.3817482
08BEAC028776,23,5,2020,7,4,23.562,120.475,"[31.3, 26.4, 23.2, 27.77777778, 24.8, 25.9, 46.77777778]",2.8954587,4.611824
08BEAC028776,23,6,2020,7,4,23.562,120.475,"[26.4, 23.2, 27.77777778, 24.8, 25.9, 46.77777778, 24.2]",3.0759537,4.12059
08BEAC028776,23,7,2020,7,4,23.562,120.475,"[23.2, 27.77777778, 24.8, 25.9, 46.77777778, 24.2, 24.4]",4.5382414,2.196698
08BEAC028776,23,8,2020,7,4,23.562,120.475,"[27.77777778, 24.8, 25.9, 46.77777778, 24.2, 24.4, 23.8]",6.6610312,2.2943807
08BEAC028776,23,9,2020,7,4,23.562,120.475,"[24.8, 25.9, 46.77777778, 24.2, 24.4, 23.8, 24.88888889]",7.773905,2.1187024
08BEAC028776,23,10,2020,7,4,23.562,120.475,"[25.9, 46.77777778, 24.2, 24.4, 23.8, 24.88888889, 6.2]",10.21705,3.7341213
08BEAC028776,23,11,2020,7,4,23.562,120.475,"[46.77777778, 24.2, 24.4, 23.8, 24.88888889, 6.2, 3.5555555560000003]",10.416729,2.1218219
08BEAC0287A4,18,20,2020,7,6,24.03887415,120.3847512,"[4.8, 5.8, 8.1, 19.8, 22.66666667, 26.0, 71.3]",-1.81014,2.369517
08BEAC0287A4,18,21,2020,7,6,24.03887415,120.3847512,"[5.8, 8.1, 19.8, 22.66666667, 26.0, 71.3, 39.33333333]",-0.9014715,4.0446954
08BEAC0287A4,18,22,2020,7,6,24.03887415,120.3847512,"[8.1, 19.8, 22.66666667, 26.0, 71.3, 39.33333333, 38.9]",1.654196,5.2347913
08BEAC0287A4,18,23,2020,7,6,24.03887415,120.3847512,"[19.8, 22.66666667, 26.0, 71.3, 39.33333333, 38.9, 21.2]",4.8734727,4.130551
08BEAC0287A4,19,0,2020,7,7,24.03887415,120.3847512,"[22.66666667, 26.0, 71.3, 39.33333333, 38.9, 21.2, 24.33333333]",6.522597,3.390503
08BEAC0287A4,19,1,2020,7,7,24.03887415,120.3847512,"[26.0, 71.3, 39.33333333, 38.9, 21.2, 24.33333333, 22.9]",8.257369,4.626475
08BEAC0287A4,19,2,2020,7,7,24.03887415,120.3847512,"[71.3, 39.33333333, 38.9, 21.2, 24.33333333, 22.9, 24.8]",9.142763,4.6408267
08BEAC0287A4,19,3,2020,7,7,24.03887415,120.3847512,"[39.33333333, 38.9, 21.2, 24.33333333, 22.9, 24.8, 19.8]",9.846045,3.5082731
08BEAC0287A4,19,4,2020,7,7,24.03887415,120.3847512,"[38.9, 21.2, 24.33333333, 22.9, 24.8, 19.8, 14.11111111]",11.140724,1.8529075
08BEAC0287A4,19,20,2020,7,7,24.03887415,120.3847512,"[8.333333332999999, 13.5, 28.5, 33.0, 15.77777778, 16.1, 43.5]",0.38225868,2.531455
08BEAC0287A4,19,21,2020,7,7,24.03887415,120.3847512,"[13.5, 28.5, 33.0, 15.77777778, 16.1, 43.5, 37.66666667]",1.6598911,3.8239322
08BEAC0287A4,19,22,2020,7,7,24.03887415,120.3847512,"[28.5, 33.0, 15.77777778, 16.1, 43.5, 37.66666667, 39.0]",2.3242645,4.399141
08BEAC0287A4,19,23,2020,7,7,24.03887415,120.3847512,"[33.0, 15.77777778, 16.1, 43.5, 37.66666667, 39.0, 18.0]",4.4299664,2.5757716
08BEAC0287A4,20,0,2020,7,1,24.03887415,120.3847512,"[15.77777778, 16.1, 43.5, 37.66666667, 39.0, 18.0, 12.5]",6.3754706,1.2482041
08BEAC0287A4,20,1,2020,7,1,24.03887415,120.3847512,"[16.1, 43.5, 37.66666667, 39.0, 18.0, 12.5, 10.77777778]",8.460024,1.8728659
08BEAC0287A4,20,2,2020,7,1,24.03887415,120.3847512,"[43.5, 37.66666667, 39.0, 18.0, 12.5, 10.77777778, 16.2]",10.628467,3.0667915
08BEAC0287A4,20,3,2020,7,1,24.03887415,120.3847512,"[37.66666667, 39.0, 18.0, 12.5, 10.77777778, 16.2, 14.6]",11.8441725,2.806579
08BEAC0287A4,20,4,2020,7,1,24.03887415,120.3847512,"[39.0, 18.0, 12.5, 10.77777778, 16.2, 14.6, 16.1]",12.408416,1.7599909
08BEAC0287A4,22,19,2020,7,3,24.03887415,120.3847512,"[6.3, 9.2, 10.1, 17.11111111, 20.7, 25.9, 38.0]",-0.50841606,3.0180173
08BEAC0287A4,22,20,2020,7,3,24.03887415,120.3847512,"[9.2, 10.1, 17.11111111, 20.7, 25.9, 38.0, 48.0]",-0.18067381,3.386129
08BEAC0287A4,22,21,2020,7,3,24.03887415,120.3847512,"[10.1, 17.11111111, 20.7, 25.9, 38.0, 48.0, 47.9]",0.978215,3.9168174
